#,Party,Total Contestants,Won,Second,Third,Party Votes,Valid Votes %,Valid Votes % (Contested),AC Leads,AC Second,AC Third
52,Vikassheel Insaan Party,4,0,3,0,"6,60,706",0.10%,16.80%,0,0,0
53,Jannayak Janta Party,7,0,1,3,"6,19,970",0.10%,7.10%,0,0,0
54,Bhartiya Tribal Party,19,0,0,5,"5,39,319",0.10%,2.40%,0,0,0
55,Bahujan Vikas Aaghadi,1,0,1,0,"4,91,596",0.10%,41.90%,0,0,0
56,Lok Insaaf Party,3,0,1,1,"4,69,784",0.10%,15.10%,0,0,0
57,Bodoland Peoples Front,1,0,1,0,"4,46,774",0.10%,30.50%,0,0,0
58,United Peoples Party Liberal,2,0,0,2,"4,16,305",0.10%,14.10%,0,0,0
59,Bahujan Mukti Party,119,0,0,2,"4,05,949",0.10%,0.30%,0,0,0
60,Socialist Unity Centre Of India (COMMUNIST),114,0,0,0,"4,05,002",0.10%,0.30%,0,0,0
61,Ambedkarite Party Of India,77,0,0,0,"3,81,073",0.10%,0.40%,0,0,0
62,Bharath Dharma Jana Sena,4,0,0,4,"3,80,847",0.10%,9.60%,0,0,0
63,Pragatishil Samajwadi Party (Lohia),82,0,0,2,"3,44,540",0.10%,0.40%,0,0,0
64,All India Forward Bloc,36,0,0,2,"3,23,951",0.10%,0.80%,0,0,0
65,Suheldev Bhartiya Samaj Party,24,0,0,8,"3,13,877",0.10%,1.30%,0,0,0
66,Punjab Ekta Party,3,0,0,1,"2,96,620",0%,9.30%,0,0,0
67,Maharashtra Swabhimaan Paksh,2,0,1,0,"2,81,578",0%,13.50%,0,0,0
68,United Democratic Party,1,0,1,0,"2,67,256",0%,34.30%,0,0,0
69,All India N.R. Congress,1,0,1,0,"2,47,956",0%,31.80%,0,0,0
70,Indian National Lok Dal,10,0,0,0,"2,40,258",0%,1.90%,0,0,0
71,Tamil Maanila Congress  (Moopanar),1,0,1,0,"2,20,849",0%,21.20%,0,0,0
72,Gondvana Gantantra Party,22,0,0,3,"2,10,088",0%,0.80%,0,0,0
73,Jansatta Dal Loktantrik,2,0,0,1,"2,03,369",0%,10.90%,0,0,0
74,Social Democratic Party Of India,14,0,0,1,"1,69,654",0%,1.10%,0,0,0
75,Nawan Punjab Party,1,0,0,1,"1,61,645",0%,13.90%,0,0,0
76,Kerala Congress (Anti-merger Group),1,0,0,1,"1,55,135",0%,17.20%,0,0,0
77,Sikkim Democratic Front,1,0,1,0,"1,54,489",0%,44.20%,0,0,0
78,Peoples Party Of India (Democratic),56,0,0,0,"1,53,191",0%,0.20%,0,0,0
79,Jammu & Kashmir People Conference,3,0,1,1,"1,33,612",0%,17.70%,0,0,0
80,Hindusthan Nirman Dal,48,0,0,0,"1,25,487",0%,0.20%,0,0,0
81,Uttama Prajaakeeya Party,27,0,0,1,"1,20,800",0%,0.40%,0,0,0
82,Bhartiya Shakti Chetna Party,35,0,0,0,"1,05,997",0%,0.30%,0,0,0
83,Voters Party  International,20,0,0,1,"1,05,972",0%,0.40%,0,0,0
84,Jan Adhikar Party (Loktantrik),1,0,0,1,"97,631",0%,8.80%,0,0,0
85,Bharat Prabhat Party,52,0,0,0,"92,100",0%,0.20%,0,0,0
86,Communist Party Of India (Marxist-Leninist) Red Star,29,0,0,0,"90,648",0%,0.30%,0,0,0
87,Indigenous People's Front Of Tripura,2,0,0,0,"89,529",0%,4.20%,0,0,0
88,Jammu & Kashmir Peoples Democratic Party,2,0,0,1,"84,054",0%,14.70%,0,0,0
89,Jan Adhikar Party,19,0,0,1,"79,975",0%,0.40%,0,0,0
90,Pyramid Party Of India,48,0,0,0,"77,164",0%,0.10%,0,0,0
91,Republican Party Of India (A),34,0,0,0,"71,528",0%,0.20%,0,0,0
92,Rashtriya Hind Sena,6,0,0,1,"67,782",0%,1.10%,0,0,0
93,Shoshit Samaj Dal,7,0,0,0,"63,543",0%,0.90%,0,0,0
94,Moulik Adhikar Party,13,0,0,0,"59,235",0%,0.40%,0,0,0
95,Rashtriya Samta Party (Secular),5,0,0,1,"58,110",0%,1.20%,0,0,0
96,Telangana Jana Samithi,1,0,0,1,"57,073",0%,5.90%,0,0,0
97,Rashtriya Jansambhavna Party,13,0,0,0,"55,868",0%,0.40%,0,0,0
98,Loktanter Suraksha Party,2,0,0,0,"55,280",0%,2.40%,0,0,0
99,Bahujan Republican Socialist Party,27,0,0,0,"54,266",0%,0.20%,0,0,0
100,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2,0,0,0,"52,185",0%,2.30%,0,0,0
101,Aihra National Party,8,0,0,0,"50,071",0%,0.50%,0,0,0
102,Ambedkar National Congress,21,0,0,0,"49,149",0%,0.20%,0,0,0
103,Akhil Bhartiya Gondwana Party,5,0,0,1,"48,426",0%,0.80%,0,0,0
104,Bahujan Maha Party,20,0,0,0,"46,185",0%,0.20%,0,0,0
105,Purvanchal Janta Party (Secular),14,0,0,0,"43,892",0%,0.30%,0,0,0
106,Rashtravadi Janata Party,4,0,0,0,"42,905",0%,0.80%,0,0,0
107,Bajjikanchal Vikas Party,7,0,0,0,"40,906",0%,0.60%,0,0,0
108,Anti Corruption Dynamic Party,11,0,0,0,"40,214",0%,0.40%,0,0,0
109,Peoples Democratic Party,3,0,1,0,"39,856",0%,1.80%,0,0,0
110,Jammu & Kashmir National Panthers Party,8,0,0,1,"39,760",0%,0.60%,0,0,0
111,North East India Development Party,2,0,0,0,"37,221",0%,2.30%,0,0,0
112,Autonomous State Demand Committee,1,0,0,0,"36,915",0%,6.10%,0,0,0
113,Amra Bangalee,9,0,0,0,"36,569",0%,0.30%,0,0,0
114,Ambedkar Samaj Party,8,0,0,0,"35,076",0%,0.40%,0,0,0
115,Jharkhand Party,4,0,0,1,"35,064",0%,0.90%,0,0,0
116,Aam Adhikar Morcha,5,0,0,0,"34,845",0%,0.70%,0,0,0
117,Bhartiya Lok Seva Dal,9,0,0,0,"34,643",0%,0.40%,0,0,0
118,Tamil Nadu Ilangyar Katchi,15,0,0,0,"34,233",0%,0.20%,0,0,0
119,Janhit Kisan Party,8,0,0,0,"33,902",0%,0.40%,0,0,0
120,Sapaks Party,12,0,0,0,"33,366",0%,0.20%,0,0,0
121,Bihar Lok Nirman Dal,8,0,0,0,"32,445",0%,0.40%,0,0,0
122,Bharatiya Nyay-Adhikar Raksha Party,7,0,0,0,"31,308",0%,0.30%,0,0,0
123,Aam Janta Party Rashtriya,3,0,0,0,"31,017",0%,1%,0,0,0
124,Rashtriya Shoshit Samaj Party,7,0,0,0,"30,983",0%,0.40%,0,0,0
125,Yuva Krantikari Party,4,0,0,0,"30,488",0%,0.80%,0,0,0
126,Peace Party,14,0,0,0,"29,995",0%,0.20%,0,0,0
127,Bharatiya Jan Kranti Dal (Democratic),7,0,0,0,"29,507",0%,0.40%,0,0,0
128,Wazib Adhikar Party,1,0,0,1,"29,392",0%,3%,0,0,0
129,Bhartiya Lokmat Rashtrwadi Party,7,0,0,0,"29,129",0%,0.40%,0,0,0
130,Right To Recall Party,14,0,0,0,"28,817",0%,0.20%,0,0,0
131,Rashtriya Samaj Paksha,11,0,0,0,"28,545",0%,0.20%,0,0,0
132,Peoples Party Of Arunachal,2,0,0,1,"27,703",0%,4.30%,0,0,0
133,Janta Dal Rashtravadi,3,0,0,1,"27,584",0%,1%,0,0,0
134,Jai Prakash Janata Dal,11,0,0,0,"27,404",0%,0.20%,0,0,0
135,Bahujan Nyay Dal,4,0,0,1,"26,746",0%,0.60%,0,0,0
136,Dogra Swabhiman Sangathan Party,2,0,0,0,"26,588",0%,1%,0,0,0
137,Rashtriya Ulama Council,9,0,0,0,"25,756",0%,0.30%,0,0,0
138,Samajwadi Janata Dal Democratic,1,0,0,0,"25,630",0%,2.40%,0,0,0
139,Swatantra Jantaraj Party,9,0,0,0,"25,494",0%,0.30%,0,0,0
140,Baliraja Party,7,0,0,0,"24,915",0%,0.30%,0,0,0
141,Samagra Utthan Party,7,0,0,0,"24,816",0%,0.30%,0,0,0
142,Bharatiya Momin Front,7,0,0,0,"23,765",0%,0.30%,0,0,0
143,Rashtriya Janadhikar Suraksha Party,6,0,0,0,"23,577",0%,0.30%,0,0,0
144,Akhil Bharat Hindu Mahasabha,5,0,0,0,"23,475",0%,0.40%,0,0,0
145,Akhil Hind Forward Bloc (Krantikari),2,0,0,0,"23,346",0%,1.30%,0,0,0
146,Welfare Party Of India,2,0,0,0,"23,035",0%,0.80%,0,0,0
147,Satya Bahumat Party,7,0,0,0,"22,560",0%,0.30%,0,0,0
148,Hindustan Shakti Sena,9,0,0,0,"21,771",0%,0.20%,0,0,0
149,Asom Jana Morcha,4,0,0,0,"21,678",0%,0.40%,0,0,0
150,Bhartiya Kisan Party,15,0,0,0,"21,551",0%,0.10%,0,0,0
151,Moolniwasi Samaj Party,3,0,0,0,"21,234",0%,0.70%,0,0,0
152,Indian New Congress Party,4,0,0,0,"21,095",0%,0.40%,0,0,0
153,Marxist Communist Party Of India (United),6,0,0,0,"21,045",0%,0.30%,0,0,0
154,Sarvodaya Bharat Party,8,0,0,0,"20,764",0%,0.20%,0,0,0
155,Rashtriya Rashtrawadi Party,7,0,0,0,"20,704",0%,0.30%,0,0,0
156,India Praja Bandhu Party,12,0,0,0,"20,682",0%,0.10%,0,0,0
157,Prahar Janshakti Party,1,0,0,0,"20,620",0%,1.80%,0,0,0
158,Bharatiya Bahujan Congress,6,0,0,0,"19,500",0%,0.30%,0,0,0
159,Proutist Bloc India,9,0,0,0,"19,457",0%,0.20%,0,0,0
160,Jharkhand Party  (Naren),2,0,0,0,"18,869",0%,0.70%,0,0,0
161,Aapki Apni Party (Peoples),22,0,0,0,"18,866",0%,0.10%,0,0,0
162,Lok Gathbandhan Party,7,0,0,0,"18,684",0%,0.30%,0,0,0
163,Samajwadi Forward Bloc,11,0,0,0,"18,571",0%,0.20%,0,0,0
164,Lok Dal,5,0,0,0,"18,215",0%,0.30%,0,0,0
165,Nagrik Ekta Party,4,0,0,0,"18,037",0%,0.40%,0,0,0
166,Jantantrik Vikas Party,3,0,0,0,"17,955",0%,0.60%,0,0,0
167,Vanchit Samaj Party,4,0,0,0,"17,856",0%,0.40%,0,0,0
168,Revolutionary Marxist Party Of India,2,0,0,0,"17,125",0%,0.70%,0,0,0
169,Rashtriya Jansabha Party,7,0,0,0,"16,902",0%,0.20%,0,0,0
170,Aam Janata Party,7,0,0,0,"16,749",0%,0.20%,0,0,0
171,Bharatiya National Janta Dal,4,0,0,0,"16,743",0%,0.30%,0,0,0
172,Hum Bhartiya Party,9,0,0,0,"16,672",0%,0.20%,0,0,0
173,Aajad Bharat Party (Democratic),4,0,0,1,"16,481",0%,0.40%,0,0,0
174,Rashtriya Mahan Gantantra Party,3,0,0,0,"16,371",0%,0.60%,0,0,0
175,Jharkhand People's Party,4,0,0,0,"16,195",0%,0.40%,0,0,0
176,Bhartiya Anarakshit Party,4,0,0,0,"15,907",0%,0.40%,0,0,0
177,Madhya Pradesh Jan Vikas Party,3,0,0,0,"15,472",0%,0.40%,0,0,0
178,Bhartiya Dalit Party,3,0,0,0,"15,376",0%,0.50%,0,0,0
179,Swaraj Party (Loktantrik),2,0,0,0,"15,198",0%,0.90%,0,0,0
180,Vyavastha Parivartan Party,4,0,0,1,"14,974",0%,0.40%,0,0,0
181,Sardar Vallabhbhai Patel Party,4,0,0,0,"14,882",0%,0.30%,0,0,0
182,Bharatiya Praja Surajya Paksha,8,0,0,0,"14,757",0%,0.20%,0,0,0
183,Republican Party Of India (Karnataka),4,0,0,1,"14,746",0%,0.30%,0,0,0
184,Janata Congress,7,0,0,0,"14,592",0%,0.20%,0,0,0
185,Desiya Makkal Sakthi Katchi,9,0,0,0,"14,300",0%,0.20%,0,0,0
186,Sarva Janata Party,3,0,0,0,"14,213",0%,0.40%,0,0,0
187,Bhartiya Republican Party (Insan),1,0,0,0,"14,142",0%,1.30%,0,0,0
188,Bahujan Awam Party,4,0,0,0,"14,060",0%,0.30%,0,0,0
189,Marxist Leninist Party Of India (Red Flag),3,0,0,0,"14,016",0%,0.40%,0,0,0
190,Jai Hind Party,1,0,0,0,"13,693",0%,1.20%,0,0,0
191,Proutist Sarva Samaj,6,0,0,0,"13,537",0%,0.20%,0,0,0
192,Janata Party,4,0,0,0,"13,467",0%,0.30%,0,0,0
193,Purvanchal Mahapanchayat,3,0,0,0,"13,450",0%,0.50%,0,0,0
194,Peoples Representation For Identity And Status Of Mizoram (PRISM) Party,1,0,0,0,"13,323",0%,2.70%,0,0,0
195,Public Mission Party,2,0,0,0,"13,238",0%,0.70%,0,0,0
196,Prabuddha Republican Party,5,0,0,0,"13,229",0%,0.30%,0,0,0
197,Bharatiya Gana Parishad,4,0,0,0,"13,039",0%,0.20%,0,0,0
198,Bhartiya Mitra Party,3,0,0,0,"12,737",0%,0.40%,0,0,0
199,Kamatapur People’s Party (United),6,0,0,0,"12,666",0%,0.20%,0,0,0
200,Uttarakhand Kranti Dal (Democratic),4,0,0,0,"12,629",0%,0.40%,0,0,0
201,Akhil Bhartiya Apna Dal,5,0,0,0,"12,538",0%,0.30%,0,0,0
202,Sarvadharam Party (MADHYA PRADESH),2,0,0,0,"12,525",0%,0.40%,0,0,0
203,Republican Party Of India,7,0,0,0,"12,478",0%,0.20%,0,0,0
204,Rashtriya Lokswaraj Party,8,0,0,0,"12,459",0%,0.10%,0,0,0
205,Swatantra Bharat Paksha,3,0,0,0,"12,430",0%,0.30%,0,0,0
206,Kalinga Sena,5,0,0,0,"12,430",0%,0.20%,0,0,0
207,Bhartiya Jan Satta Party,1,0,0,0,"12,416",0%,0.90%,0,0,0
208,Party For Democratic Socialism,5,0,0,0,"12,087",0%,0.20%,0,0,0
209,Smart Indians Party,4,0,0,0,"11,877",0%,0.20%,0,0,0
210,Pragatisheel Samaj Party,3,0,0,0,"11,752",0%,0.40%,0,0,0
211,Garib Janshakti Party,2,0,0,0,"11,678",0%,0.60%,0,0,0
212,Ganasangam Party Of India,3,0,0,0,"11,631",0%,0.30%,0,0,0
213,Asli Deshi Party,4,0,0,0,"11,598",0%,0.30%,0,0,0
214,Jana Jagruti Party,7,0,0,0,"11,464",0%,0.10%,0,0,0
215,Janral Samaj Party,5,0,0,0,"11,324",0%,0.20%,0,0,0
216,Aadarsh Mithila Party,2,0,0,0,"11,311",0%,0.60%,0,0,0
217,Rashtriya Power Party,3,0,0,0,"11,248",0%,0.40%,0,0,0
218,Kranti Kari Jai Hind Sena,5,0,0,0,"11,200",0%,0.20%,0,0,0
219,Bhartiya Manavadhikaar Federal Party,10,0,0,0,"11,132",0%,0.10%,0,0,0
220,All India Peoples' Front (Radical),1,0,0,0,"11,032",0%,1.10%,0,0,0
221,Rashtriya Indepndent Morcha,1,0,0,0,"10,914",0%,0.90%,0,0,0
222,Jan Sangharsh Virat Party,5,0,0,0,"10,569",0%,0.20%,0,0,0
223,Poorvanchal Rashtriya Congress,2,0,0,0,"10,532",0%,0.40%,0,0,0
224,Garvi Gujarat Party,3,0,0,0,"10,469",0%,0.30%,0,0,0
225,Shiromani Akali Dal (Taksali),1,0,0,0,"10,424",0%,1%,0,0,0
226,Yuva Jan Jagriti Party,6,0,0,0,"10,147",0%,0.10%,0,0,0
227,Akhil Bhartiya Mithila Party,1,0,0,0,"10,127",0%,1.10%,0,0,0
228,Hindustan Janta Party,7,0,0,0,"9,997",0%,0.10%,0,0,0
229,Rashtriya Krantikari Samajwadi Party,4,0,0,0,"9,914",0%,0.20%,0,0,0
230,Akhil Bharat Samagra Kranti Party,1,0,0,0,"9,912",0%,1.10%,0,0,0
231,Bharat Bhrashtachar Mitao Party,1,0,0,0,"9,894",0%,1.10%,0,0,0
232,Loktantrik Jan Swaraj Party,1,0,0,0,"9,868",0%,1%,0,0,0
233,Praja Shanthi Party,4,0,0,0,"9,738",0%,0.20%,0,0,0
234,Bharatiya Aam Awam Party,1,0,0,0,"9,628",0%,0.90%,0,0,0
235,Indian Peoples Green Party,2,0,0,0,"9,538",0%,0.40%,0,0,0
236,Bharatiya Kisan Parivartan Party,1,0,0,0,"9,503",0%,0.90%,0,0,0
237,Samata Samadhan Party,1,0,0,1,"9,396",0%,0.80%,0,0,0
238,Lok Jan Vikas Morcha,2,0,0,0,"9,278",0%,0.50%,0,0,0
239,Rajnaitik Vikalp Party,1,0,0,0,"9,109",0%,1.10%,0,0,0
240,Akhil Bharatiya Jan Sangh,6,0,0,0,"9,015",0%,0.10%,0,0,0
241,Ulzaipali Makkal Katchy,6,0,0,0,"9,007",0%,0.10%,0,0,0
242,Rashtriya Maratha Party,5,0,0,0,"8,997",0%,0.20%,0,0,0
243,Rashtriya Janshakti Party (Secular),7,0,0,0,"8,900",0%,0.10%,0,0,0
244,Pichhara Samaj Party United,2,0,0,0,"8,884",0%,0.40%,0,0,0
245,Uttarakhand Kranti Dal,4,0,0,0,"8,830",0%,0.20%,0,0,0
246,Vishva Shakti Party,3,0,0,0,"8,784",0%,0.30%,0,0,0
247,Jharkhand Mukti Morcha (Ulgulan),1,0,0,0,"8,672",0%,1%,0,0,0
248,Sathi Aur Aapka Faisala Party,2,0,0,0,"8,643",0%,0.40%,0,0,0
249,Rashtriya Janasachetan Party (R.J.P.),5,0,0,0,"8,609",0%,0.10%,0,0,0
250,Apna Dal United Party,1,0,0,0,"8,541",0%,0.80%,0,0,0
251,Krupaa Party,3,0,0,0,"8,507",0%,0.30%,0,0,0
252,Akhil Bhartiya Jharkhand Party,1,0,0,0,"8,484",0%,0.60%,0,0,0
253,Bahujan Azad Party,2,0,0,0,"8,421",0%,0.40%,0,0,0
254,Loksangram,1,0,0,0,"8,418",0%,0.80%,0,0,0
255,Rashtra Sewa Dal,1,0,0,0,"8,381",0%,1%,0,0,0
256,Apna Kisan Party,1,0,0,0,"8,354",0%,0.80%,0,0,0
257,Odisha Pragati Dal,1,0,0,0,"8,304",0%,0.90%,0,0,0
258,Assam Dristi Party,1,0,0,0,"8,285",0%,0.70%,0,0,0
259,Bharatiya Rashtriya Morcha,2,0,0,0,"8,260",0%,0.50%,0,0,0
260,Pragatisheel Manav Samaj Party,3,0,0,0,"8,210",0%,0.30%,0,0,0
261,Sanyukt Vikas Party,6,0,0,0,"8,205",0%,0.10%,0,0,0
262,Bharatiya Aavaam Ekta Party,1,0,0,0,"8,164",0%,0.80%,0,0,0
263,All India Hindustan Congress Party,4,0,0,0,"8,082",0%,0.20%,0,0,0
264,Nava Praja Rajyam Party,1,0,0,0,"8,007",0%,0.80%,0,0,0
265,Kisan Mazdoor Sangharsh Party,4,0,0,0,"7,974",0%,0.20%,0,0,0
266,Indian Democratic Republican Front,2,0,0,0,"7,784",0%,0.40%,0,0,0
267,Aarakshan Virodhi Party,4,0,0,0,"7,697",0%,0.20%,0,0,0
268,Akhand Samaj Party,2,0,0,0,"7,569",0%,0.30%,0,0,0
269,Rashtriya Jan Adhikar Party (United),2,0,0,0,"7,561",0%,0.40%,0,0,0
270,Bharatiya Samta Samaj Party,3,0,0,0,"7,368",0%,0.30%,0,0,0
271,Mundadugu Praja Party,4,0,0,0,"7,342",0%,0.10%,0,0,0
272,Sanatan Sanskriti Raksha Dal,7,0,0,0,"7,325",0%,0.10%,0,0,0
273,Agila India Makkal Kazhagam,5,0,0,0,"7,320",0%,0.10%,0,0,0
274,Naitik Party,6,0,0,0,"7,294",0%,0.10%,0,0,0
275,Kanshiram Bahujan Dal,5,0,0,0,"7,255",0%,0.10%,0,0,0
276,Bhartiya Janraj Party,4,0,0,0,"7,210",0%,0.20%,0,0,0
277,Janhit Bharat Party,2,0,0,0,"7,192",0%,0.30%,0,0,0
278,New Democratic Party Of India,3,0,0,0,"7,081",0%,0.20%,0,0,0
279,Rashtriya Kranti Party,5,0,0,0,"6,997",0%,0.10%,0,0,0
280,Rashtriya Samanta Dal,2,0,0,0,"6,918",0%,0.30%,0,0,0
281,Freethought Party Of India,3,0,0,0,"6,884",0%,0.20%,0,0,0
282,Rashtriya Apna Dal,2,0,0,0,"6,840",0%,0.40%,0,0,0
283,Bahujan Samaj Party  (Ambedkar),5,0,0,0,"6,802",0%,0.20%,0,0,0
284,Samaj Adhikar Kalyan Party,6,0,0,0,"6,736",0%,0.10%,0,0,0
285,Bhartiya Jan Nayak Party,4,0,0,0,"6,735",0%,0.20%,0,0,0
286,Bharat Bhoomi Party,3,0,0,0,"6,730",0%,0.20%,0,0,0
287,Bhartiyabahujankranti Dal,5,0,0,0,"6,684",0%,0.10%,0,0,0
288,Nationalist Justice Party,4,0,0,0,"6,531",0%,0.20%,0,0,0
289,Bharateeya Manavadhikar Party,2,0,0,0,"6,511",0%,0.30%,0,0,0
290,Bhartiya Hind Fauj,2,0,0,0,"6,508",0%,0.30%,0,0,0
291,Rashtriya Sarvjan Vikas Party,2,0,0,0,"6,497",0%,0.30%,0,0,0
292,All India Jana Andolan Party,1,0,0,0,"6,495",0%,0.50%,0,0,0
293,Parivartan Samaj Party,3,0,0,0,"6,469",0%,0.20%,0,0,0
294,Sankhyanupati Bhagidari Party,2,0,0,0,"6,395",0%,0.30%,0,0,0
295,Saman Aadmi Saman Party,1,0,0,0,"6,368",0%,0.50%,0,0,0
296,Lok Sewa Dal,1,0,0,0,"6,313",0%,0.60%,0,0,0
297,Sabka Dal United,3,0,0,0,"6,283",0%,0.20%,0,0,0
298,Maanavvaadi Janta Party,2,0,0,0,"6,267",0%,0.30%,0,0,0
299,Minorities Democratic Party,3,0,0,0,"6,198",0%,0.20%,0,0,0
300,Jago Hindustan Party,2,0,0,0,"6,171",0%,0.30%,0,0,0
301,Dalita Bahujana Party,3,0,0,0,"6,133",0%,0.20%,0,0,0
302,Bharipa Bahujan Mahasangh,2,0,0,0,"5,971",0%,0.30%,0,0,0
303,Jamat-E-Seratul Mustakim,2,0,0,0,"5,885",0%,0.20%,0,0,0
304,Nationalist People's Front,1,0,0,0,"5,798",0%,0.50%,0,0,0
305,Rashtriya Jan Gaurav Party,1,0,0,0,"5,768",0%,0.60%,0,0,0
306,Jan Shakti Dal,2,0,0,0,"5,758",0%,0.20%,0,0,0
307,Apna Desh Party,2,0,0,0,"5,682",0%,0.30%,0,0,0
308,Bharat Nirman Party,1,0,0,0,"5,674",0%,0.50%,0,0,0
309,Republican Sena,4,0,0,0,"5,654",0%,0.10%,0,0,0
310,Kisan Party Of India,2,0,0,0,"5,647",0%,0.30%,0,0,0
311,Chhattisgarh Vikas Ganga Rashtriya Party,2,0,0,0,"5,540",0%,0.20%,0,0,0
312,Anna Ysr Congress Party,2,0,0,0,"5,511",0%,0.20%,0,0,0
313,Awami Samta Party,3,0,0,0,"5,504",0%,0.20%,0,0,0
314,Ezhuchi Tamilargal Munnetra Kazhagam,3,0,0,0,"5,482",0%,0.20%,0,0,0
315,Prithviraj Janshakti Party,3,0,0,0,"5,451",0%,0.20%,0,0,0
316,Uttarakhand Parivartan Party,1,0,0,0,"5,351",0%,0.80%,0,0,0
317,Secular Democratic Congress,4,0,0,0,"5,321",0%,0.10%,0,0,0
